season,region,matchup_order,slot_side,seed,team_name_bracket,team_id_canon,play_in_group
2026,East,1,top,1,Duke,duke,
2026,East,8,top,2,Connecticut,connecticut,
2026,East,6,top,3,Michigan St.,michigan_st,
2026,East,4,top,4,Kansas,kansas,
2026,East,3,top,5,St. John's,st_johns,
2026,East,5,top,6,Louisville,louisville,
2026,East,7,top,7,UCLA,ucla,
2026,East,2,top,8,Ohio State,ohio_state,
2026,East,2,bottom,9,TCU,tcu,
2026,East,7,bottom,10,UCF,ucf,
2026,East,5,bottom,11,South Florida,south_florida,
2026,East,3,bottom,12,Northern Iowa,northern_iowa,
2026,East,4,bottom,13,Cal Baptist,cal_baptist,
2026,East,6,bottom,14,N Dakota St.,n_dakota_st,
2026,East,8,bottom,15,Furman,furman,
2026,East,1,bottom,16,Siena,siena,
2026,Midwest,1,top,1,Michigan,michigan,
2026,Midwest,8,top,2,Iowa St.,iowa_st,
2026,Midwest,6,top,3,Virginia,virginia,
2026,Midwest,4,top,4,Alabama,alabama,
2026,Midwest,3,top,5,Texas Tech,texas_tech,
2026,Midwest,5,top,6,Tennessee,tennessee,
2026,Midwest,7,top,7,Kentucky,kentucky,
2026,Midwest,2,top,8,Georgia,georgia,
2026,Midwest,2,bottom,9,Saint Louis,saint_louis,
2026,Midwest,7,bottom,10,Santa Clara,santa_clara,
2026,Midwest,5,bottom,11,MIA OH,mia_oh,midwest_11_5_bottom
2026,Midwest,5,bottom,11,SMU,smu,midwest_11_5_bottom
2026,Midwest,3,bottom,12,Akron,akron,
2026,Midwest,4,bottom,13,Hofstra,hofstra,
2026,Midwest,6,bottom,14,Wright St.,wright_st,
2026,Midwest,8,bottom,15,Tennessee St.,tennessee_st,
2026,Midwest,1,bottom,16,Howard,howard,
2026,Midwest,1,bottom,16,UMBC,umbc,resolved_midwest_16_1_bottom
2026,South,1,top,1,Florida,florida,
2026,South,8,top,2,Houston,houston,
2026,South,6,top,3,Illinois,illinois,
2026,South,4,top,4,Nebraska,nebraska,
2026,South,3,top,5,Vanderbilt,vanderbilt,
2026,South,5,top,6,North Carolina,north_carolina,
2026,South,7,top,7,Saint Mary's,saint_marys,
2026,South,2,top,8,Clemson,clemson,
2026,South,2,bottom,9,Iowa,iowa,
2026,South,7,bottom,10,Texas A&M,texas_a_and_m,
2026,South,5,bottom,11,VCU,vcu,
2026,South,3,bottom,12,McNeese,mcneese,
2026,South,4,bottom,13,Troy,troy,
2026,South,6,bottom,14,Penn,penn,
2026,South,8,bottom,15,Idaho,idaho,
2026,South,1,bottom,16,Lehigh,lehigh,south_16_1_bottom
2026,South,1,bottom,16,PVAMU,pvamu,south_16_1_bottom
2026,West,1,top,1,Arizona,arizona,
2026,West,8,top,2,Purdue,purdue,
2026,West,6,top,3,Gonzaga,gonzaga,
2026,West,4,top,4,Arkansas,arkansas,
2026,West,3,top,5,Wisconsin,wisconsin,
2026,West,5,top,6,BYU,byu,
2026,West,7,top,7,Miami (FL),miami_fl,
2026,West,2,top,8,Villanova,villanova,
2026,West,2,bottom,9,Utah St.,utah_st,
2026,West,7,bottom,10,Missouri,missouri,
2026,West,5,bottom,11,NC State,nc_state,resolved_west_11_5_bottom
2026,West,5,bottom,11,Texas,texas,
2026,West,3,bottom,12,High Point,high_point,
2026,West,4,bottom,13,Hawaii,hawaii,
2026,West,6,bottom,14,Kennesaw St.,kennesaw_st,
2026,West,8,bottom,15,Queens (N.C.),queens_nc,
2026,West,1,bottom,16,Long Island,long_island,
